sample	bam_path	group	technology
SRR2083154	data/target/star-output/SRR2083154/Aligned.sortedByCoord.out.bam	target	short
SRR2083162	data/target/star-output/SRR2083162/Aligned.sortedByCoord.out.bam	target	short
SRR2083171	data/target/star-output/SRR2083171/Aligned.sortedByCoord.out.bam	target	short
SRR2083176	data/target/star-output/SRR2083176/Aligned.sortedByCoord.out.bam	target	short
SRR2083188	data/target/star-output/SRR2083188/Aligned.sortedByCoord.out.bam	target	short
SRR2239703	data/target/star-output/SRR2239703/Aligned.sortedByCoord.out.bam	target	short
SRR2239717	data/target/star-output/SRR2239717/Aligned.sortedByCoord.out.bam	target	short
SRR3162160	data/target/star-output/SRR3162160/Aligned.sortedByCoord.out.bam	target	short
SRR3162195	data/target/star-output/SRR3162195/Aligned.sortedByCoord.out.bam	target	short
SRR3162212	data/target/star-output/SRR3162212/Aligned.sortedByCoord.out.bam	target	short
SRR3162237	data/target/star-output/SRR3162237/Aligned.sortedByCoord.out.bam	target	short
SRR3162253	data/target/star-output/SRR3162253/Aligned.sortedByCoord.out.bam	target	short
SRR4376029	data/target/star-output/SRR4376029/Aligned.sortedByCoord.out.bam	target	short
SRR4416297	data/target/star-output/SRR4416297/Aligned.sortedByCoord.out.bam	target	short
SRR4419554	data/target/star-output/SRR4419554/Aligned.sortedByCoord.out.bam	target	short
SRR4419565	data/target/star-output/SRR4419565/Aligned.sortedByCoord.out.bam	target	short
