group	samples
gtex	SRR811049
gtex	SRR1456591
gtex	SRR1431927
gtex	SRR1485141
gtex	SRR1309745
gtex	SRR813983
gtex	SRR1085402
gtex	SRR1391397
gtex	SRR658707
gtex	SRR658057
gtex	SRR1383081
gtex	SRR1435626
gtex	SRR1396191
gtex	SRR1417248
gtex	SRR814563
gtex	SRR1435833
gtex	SRR1073389
gtex	SRR1333633
gtex	SRR5125370
gtex	SRR1487746
gtex	SRR662174
gtex	SRR811839
gtex	SRR1389366
gtex	SRR810945
gtex	SRR1310604
gtex	SRR1465712
gtex	SRR1091817
gtex	SRR1481060
gtex	SRR1420238
gtex	SRR812461
gtex	SRR1333971
gtex	SRR1457126
gtex	SRR811309
gtex	SRR819096
gtex	SRR813019
gtex	SRR1455653
gtex	SRR614155
gtex	SRR1370720
gtex	SRR1094051
gtex	SRR607743
gtex	SRR813560
gtex	SRR1434117
gtex	SRR662245
gtex	SRR662918
gtex	SRR1476056
gtex	SRR658501
gtex	SRR663585
gtex	SRR1368668
gtex	SRR1410221
gtex	SRR1375439
gtex	SRR1396786
gtex	SRR1344422
gtex	SRR1354644
gtex	SRR1381775
gtex	SRR1071931
gtex	SRR1095720
gtex	SRR1330723
gtex	SRR660733
gtex	SRR661397
gtex	SRR819430
gtex	SRR1394231
gtex	SRR1459739
gtex	SRR1350832
gtex	SRR1089562
gtex	SRR1477452
gtex	SRR1309702
gtex	SRR1381693
gtex	SRR615862
gtex	SRR1471594
gtex	SRR818294
gtex	SRR1396700
gtex	SRR1367988
gtex	SRR1327994
gtex	SRR658433
gtex	SRR1092349
gtex	SRR1312187
gtex	SRR1354489
gtex	SRR659235
gtex	SRR1074359
gtex	SRR1089424
gtex	SRR1080766
gtex	SRR813891
gtex	SRR1375351
gtex	SRR1338812
gtex	SRR1096057
gtex	SRR1347937
gtex	SRR5125362
gtex	SRR660788
gtex	SRR811379
gtex	SRR810249
gtex	SRR811583
gtex	SRR1086889
gtex	SRR1382615
gtex	SRR1363611
gtex	SRR1361590
gtex	SRR1476384
gtex	SRR1412987
gtex	SRR1345266
gtex	SRR1338964
gtex	SRR603566
gtex	SRR1376764
gtex	SRR1310836
gtex	SRR663249
gtex	SRR1318857
gtex	SRR1489926
gtex	SRR603496
gtex	SRR1098612
gtex	SRR1500323
gtex	SRR1338426
gtex	SRR613222
gtex	SRR663609
gtex	SRR1445365
gtex	SRR1076584
gtex	SRR1469681
gtex	SRR662978
gtex	SRR1464618
gtex	SRR817421
gtex	SRR1500170
gtex	SRR1329047
gtex	SRR660042
gtex	SRR1455104
gtex	SRR1318046
gtex	SRR1367432
gtex	SRR1437369
gtex	SRR1474863
gtex	SRR812012
gtex	SRR604718
gtex	SRR1349032
gtex	SRR1348468
gtex	SRR659816
gtex	SRR663477
gtex	SRR659720
gtex	SRR1344326
gtex	SRR1072871
gtex	SRR662354
gtex	SRR1420344
gtex	SRR614611
gtex	SRR1314916
gtex	SRR1348040
gtex	SRR1392072
gtex	SRR600656
gtex	SRR815494
gtex	SRR1379133
gtex	SRR1331922
gtex	SRR603890
gtex	SRR1319461
gtex	SRR1320469
gtex	SRR1397781
gtex	SRR1358220
gtex	SRR1392901
gtex	SRR1333570
gtex	SRR1457574
gtex	SRR1357757
gtex	SRR1071717
gtex	SRR1329154
gtex	SRR663284
gtex	SRR1339834
gtex	SRR1442928
gtex	SRR809427
gtex	SRR817234
gtex	SRR603472
gtex	SRR1338880
gtex	SRR1469080
gtex	SRR815637
gtex	SRR1317064
gtex	SRR1322662
gtex	SRR661675
gtex	SRR601695
gtex	SRR1459300
gtex	SRR660685
gtex	SRR1452334
gtex	SRR1333330
gtex	SRR1440603
gtex	SRR1091918
gtex	SRR1466512
gtex	SRR612803
gtex	SRR1315081
gtex	SRR1331639
gtex	SRR1446375
gtex	SRR1077805
gtex	SRR1361138
gtex	SRR1470923
gtex	SRR1086585
gtex	SRR1406200
gtex	SRR1318444
gtex	SRR1347214
gtex	SRR661074
gtex	SRR1452423
gtex	SRR1442127
gtex	SRR655483
gtex	SRR1430928
gtex	SRR1419086
gtex	SRR1377800
gtex	SRR1336569
gtex	SRR5125353
gtex	SRR1388873
gtex	SRR614852
gtex	SRR1414161
gtex	SRR1105057
gtex	SRR1345847
gtex	SRR665241
gtex	SRR658093
gtex	SRR1328869
gtex	SRR809595
gtex	SRR1313687
gtex	SRR1432390
gtex	SRR1309556
gtex	SRR1488172
gtex	SRR1400823
gtex	SRR1431205
gtex	SRR1459937
gtex	SRR657468
gtex	SRR615044
gtex	SRR661469
gtex	SRR656445
gtex	SRR1332187
gtex	SRR1096571
gtex	SRR814679
gtex	SRR1370780
gtex	SRR1435982
gtex	SRR1316015
gtex	SRR1442862
gtex	SRR1395509
gtex	SRR1364824
gtex	SRR664048
gtex	SRR1489116
gtex	SRR659507
gtex	SRR1389177
gtex	SRR1420649
gtex	SRR5125418
gtex	SRR1416337
gtex	SRR1345412
gtex	SRR1407516
gtex	SRR1319710
gtex	SRR659484
gtex	SRR1367693
gtex	SRR658790
gtex	SRR614059
gtex	SRR1402172
gtex	SRR1354665
gtex	SRR1419234
gtex	SRR1367109
gtex	SRR1444306
gtex	SRR661005
gtex	SRR1412947
gtex	SRR1334889
gtex	SRR1344382
gtex	SRR1344079
gtex	SRR1500006
gtex	SRR627423
gtex	SRR2184942
gtex	SRR663807
gtex	SRR614131
gtex	SRR657731
gtex	SRR1329485
gtex	SRR602010
gtex	SRR1365598
gtex	SRR655040
gtex	SRR1475930
gtex	SRR1421444
gtex	SRR1360359
gtex	SRR1420129
gtex	SRR627439
gtex	SRR656247
gtex	SRR660579
gtex	SRR1490115
gtex	SRR1310735
gtex	SRR1097035
gtex	SRR817282
gtex	SRR1402794
gtex	SRR1416955
gtex	SRR1444501
gtex	SRR1390437
gtex	SRR1401062
gtex	SRR1087825
gtex	SRR1359509
gtex	SRR659971
gtex	SRR1436280
gtex	SRR1328447
gtex	SRR5125346
gtex	SRR1314113
gtex	SRR1365034
gtex	SRR1339619
gtex	SRR2170490
gtex	SRR1383259
gtex	SRR660091
gtex	SRR1466556
gtex	SRR1334535
gtex	SRR1419258
gtex	SRR816945
gtex	SRR1408529
gtex	SRR1404461
gtex	SRR1317086
gtex	SRR1321987
gtex	SRR658259
gtex	SRR1471755
gtex	SRR1383831
gtex	SRR820518
gtex	SRR1326773
gtex	SRR1431569
gtex	SRR1348770
gtex	SRR1452912
gtex	SRR1485997
gtex	SRR1333240
gtex	SRR660859
gtex	SRR1325377
gtex	SRR1353437
gtex	SRR821326
gtex	SRR1458706
gtex	SRR1071231
gtex	SRR598044
gtex	SRR1373981
gtex	SRR660638
gtex	SRR1317832
gtex	SRR614839
gtex	SRR819054
gtex	SRR1334247
gtex	SRR1456027
gtex	SRR821364
gtex	SRR1340885
gtex	SRR1468850
gtex	SRR659696
gtex	SRR1375571
gtex	SRR1330129
gtex	SRR1404813
gtex	SRR657707
gtex	SRR1337364
gtex	SRR815044
gtex	SRR1328101
gtex	SRR1452696
gtex	SRR612395
gtex	SRR815398
gtex	SRR601671
gtex	SRR613723
gtex	SRR1455842
gtex	SRR1338536
gtex	SRR821043
gtex	SRR1392478
gtex	SRR1472976
gtex	SRR819975
gtex	SRR1432743
gtex	SRR1457315
gtex	SRR1406008
gtex	SRR1489286
gtex	SRR655088
gtex	SRR1481396
gtex	SRR1405984
gtex	SRR1389570
gtex	SRR1360338
gtex	SRR1335236
gtex	SRR1458931
gtex	SRR1419941
gtex	SRR1315517
gtex	SRR1330327
gtex	SRR1389133
gtex	SRR1332713
gtex	SRR1368117
gtex	SRR1093814
gtex	SRR810853
gtex	SRR1378243
gtex	SRR1431647
gtex	SRR1397242
gtex	SRR1082520
gtex	SRR656223
gtex	SRR5125595
gtex	SRR608428
gtex	SRR1377862
gtex	SRR1338942
gtex	SRR1402391
gtex	SRR1367715
gtex	SRR1355451
gtex	SRR1338687
gtex	SRR1416979
gtex	SRR1323152
gtex	SRR1376619
gtex	SRR1358803
gtex	SRR1377578
gtex	SRR1387222
gtex	SRR660673
gtex	SRR1499764
gtex	SRR1464835
gtex	SRR612215
gtex	SRR808968
gtex	SRR812970
gtex	SRR660709
gtex	SRR655946
gtex	SRR1088832
gtex	SRR1457949
gtex	SRR1326292
gtex	SRR1080366
gtex	SRR1369264
gtex	SRR1366543
gtex	SRR1453416
gtex	SRR598300
gtex	SRR1370637
gtex	SRR661096
gtex	SRR665393
gtex	SRR615479
gtex	SRR662653
gtex	SRR1489862
gtex	SRR2170217
gtex	SRR5125587
gtex	SRR1338648
gtex	SRR612227
gtex	SRR614263
gtex	SRR1092541
gtex	SRR1089375
gtex	SRR1320363
gtex	SRR660164
gtex	SRR1406418
gtex	SRR811491
gtex	SRR1416560
gtex	SRR1081765
gtex	SRR813656
gtex	SRR1378026
gtex	SRR1345221
gtex	SRR660776
gtex	SRR1456711
gtex	SRR1473778
gtex	SRR663693
gtex	SRR1313969
gtex	SRR658742
gtex	SRR1467125
gtex	SRR1338280
gtex	SRR1418880
gtex	SRR820907
gtex	SRR1440744
gtex	SRR1358202
gtex	SRR1336706
gtex	SRR1478362
gtex	SRR1470603
gtex	SRR1352256
gtex	SRR1349231
gtex	SRR1486799
gtex	SRR1446564
gtex	SRR1446911
gtex	SRR1350371
gtex	SRR1320137
gtex	SRR1385411
gtex	SRR1414314
gtex	SRR657115
gtex	SRR1074719
gtex	SRR1312406
gtex	SRR1464601
gtex	SRR1096876
gtex	SRR612635
gtex	SRR1348294
gtex	SRR1082833
gtex	SRR1080998
gtex	SRR1318898
gtex	SRR1419110
gtex	SRR1465018
gtex	SRR1311509
gtex	SRR661084
gtex	SRR1382485
gtex	SRR1361456
gtex	SRR1388809
gtex	SRR1320579
gtex	SRR1092985
gtex	SRR1400551
gtex	SRR1325483
gtex	SRR1408595
gtex	SRR1458220
gtex	SRR5125371
gtex	SRR1454328
gtex	SRR1377468
gtex	SRR615105
gtex	SRR1367654
gtex	SRR659590
gtex	SRR817978
gtex	SRR662126
gtex	SRR1322790
gtex	SRR1445835
gtex	SRR1407202
gtex	SRR1404837
gtex	SRR1328642
gtex	SRR1433576
gtex	SRR1335113
gtex	SRR5125400
gtex	SRR607018
gtex	SRR1471456
gtex	SRR1310433
gtex	SRR1358539
gtex	SRR1390027
gtex	SRR1434650
gtex	SRR815783
gtex	SRR1468162
gtex	SRR1094073
gtex	SRR1355352
gtex	SRR1352530
gtex	SRR5125586
gtex	SRR1469169
gtex	SRR1083657
gtex	SRR1096174
gtex	SRR1447631
gtex	SRR819744
gtex	SRR1401752
gtex	SRR603421
gtex	SRR615407
gtex	SRR1088581
gtex	SRR1077239
gtex	SRR1395874
gtex	SRR1370216
gtex	SRR1310412
gtex	SRR1323422
gtex	SRR1317920
gtex	SRR1365356
gtex	SRR1400180
gtex	SRR614083
gtex	SRR1381348
gtex	SRR1431183
gtex	SRR1420669
gtex	SRR1429429
gtex	SRR1312598
gtex	SRR1345647
gtex	SRR1099648
gtex	SRR1486391
gtex	SRR1356248
gtex	SRR1098474
gtex	SRR1386991
gtex	SRR1377927
gtex	SRR1475300
gtex	SRR1459009
gtex	SRR1329003
gtex	SRR1488261
gtex	SRR1407950
gtex	SRR1359760
gtex	SRR5125417
gtex	SRR1381865
gtex	SRR1481351
gtex	SRR1435351
gtex	SRR1419561
gtex	SRR1356101
gtex	SRR1415257
gtex	SRR1408183
gtex	SRR1083432
gtex	SRR1375509
gtex	SRR614972
gtex	SRR601387
gtex	SRR614311
gtex	SRR1457895
gtex	SRR601581
gtex	SRR600688
gtex	SRR1420320
gtex	SRR1072345
gtex	SRR1313910
gtex	SRR1486080
gtex	SRR1490589
gtex	SRR5125341
gtex	SRR613807
gtex	SRR662019
gtex	SRR1100991
gtex	SRR1489092
gtex	SRR1324390
gtex	SRR1467149
gtex	SRR809619
gtex	SRR1478614
gtex	SRR1446156
gtex	SRR1320785
gtex	SRR1436065
gtex	SRR1418022
gtex	SRR813339
gtex	SRR1328797
gtex	SRR1381435
gtex	SRR5125373
gtex	SRR607042
gtex	SRR5125365
gtex	SRR807849
gtex	SRR1391748
gtex	SRR1354138
gtex	SRR5125358
gtex	SRR604528
gtex	SRR1089446
gtex	SRR1452604
gtex	SRR808994
gtex	SRR1340662
gtex	SRR1431083
gtex	SRR1413810
gtex	SRR1331684
gtex	SRR1088168
gtex	SRR661385
gtex	SRR1475104
gtex	SRR661901
gtex	SRR5125401
gtex	SRR1440224
gtex	SRR1447103
gtex	SRR660871
gtex	SRR665478
gtex	SRR1356290
gtex	SRR1442066
gtex	SRR603164
gtex	SRR658585
gtex	SRR1406088
gtex	SRR1487947
gtex	SRR1448029
gtex	SRR1486021
gtex	SRR1354291
gtex	SRR661973
gtex	SRR660697
gtex	SRR1416516
gtex	SRR1365426
gtex	SRR1360807
gtex	SRR1414727
gtex	SRR818901
gtex	SRR1323087
gtex	SRR2185057
gtex	SRR1356553
gtex	SRR1366102
gtex	SRR5125386
gtex	SRR1068855
gtex	SRR602217
gtex	SRR814844
gtex	SRR1361368
gtex	SRR1408161
gtex	SRR1320403
gtex	SRR1465871
gtex	SRR665670
gtex	SRR660378
gtex	SRR1359447
gtex	SRR663717
gtex	SRR1071807
gtex	SRR1357148
gtex	SRR661325
gtex	SRR1318465
gtex	SRR1435418
gtex	SRR613330
gtex	SRR815470
gtex	SRR607067
gtex	SRR1319118
gtex	SRR661577
gtex	SRR1326624
gtex	SRR1471965
gtex	SRR1100588
gtex	SRR5125416
gtex	SRR1413872
gtex	SRR1075683
gtex	SRR1351166
gtex	SRR1467567
gtex	SRR1388746
gtex	SRR1394637
gtex	SRR1360402
gtex	SRR627431
gtex	SRR1434955
gtex	SRR615611
gtex	SRR1365873
gtex	SRR5125361
gtex	SRR1404024
gtex	SRR1384371
gtex	SRR1314832
gtex	SRR655732
gtex	SRR1368072
gtex	SRR1383855
gtex	SRR1101693
gtex	SRR1090265
gtex	SRR1489610
gtex	SRR1356705
gtex	SRR658200
gtex	SRR1348911
gtex	SRR1084007
gtex	SRR1089833
gtex	SRR1409575
gtex	SRR1402153
gtex	SRR1430679
gtex	SRR615117
gtex	SRR1075223
gtex	SRR659001
gtex	SRR818009
gtex	SRR1451740
gtex	SRR1408682
gtex	SRR1337794
gtex	SRR1454117
gtex	SRR1419429
gtex	SRR613699
gtex	SRR654802
gtex	SRR1311644
gtex	SRR1418561
gtex	SRR1319204
gtex	SRR1488091
gtex	SRR1334608
gtex	SRR1443592
gtex	SRR1487089
gtex	SRR663088
gtex	SRR608344
gtex	SRR1320071
gtex	SRR1377714
gtex	SRR1387240
gtex	SRR1331311
gtex	SRR2165634
gtex	SRR660260
gtex	SRR1471731
gtex	SRR1355217
gtex	SRR612539
gtex	SRR658681
gtex	SRR1445280
gtex	SRR1399880
gtex	SRR1083776
gtex	SRR1459125
gtex	SRR613879
gtex	SRR1432453
gtex	SRR1353900
gtex	SRR1457397
gtex	SRR1073679
gtex	SRR608002
gtex	SRR814768
gtex	SRR1400032
gtex	SRR1318839
gtex	SRR598172
gtex	SRR1415854
gtex	SRR1341432
gtex	SRR1333106
gtex	SRR1330522
gtex	SRR662906
gtex	SRR808244
gtex	SRR615814
gtex	SRR660895
gtex	SRR1333462
gtex	SRR1490658
gtex	SRR1087585
gtex	SRR1069024
gtex	SRR1319753
gtex	SRR662198
gtex	SRR1084720
gtex	SRR1077288
gtex	SRR1415048
gtex	SRR1325225
gtex	SRR1343741
gtex	SRR662211
gtex	SRR816015
gtex	SRR658033
gtex	SRR663513
gtex	SRR1441934
gtex	SRR1326536
gtex	SRR663356
gtex	SRR1452099
gtex	SRR1345541
gtex	SRR1362263
gtex	SRR613438
gtex	SRR615273
gtex	SRR1430489
gtex	SRR1387966
gtex	SRR613963
gtex	SRR5125349
gtex	SRR1486156
gtex	SRR2165806
gtex	SRR1472259
gtex	SRR1440421
gtex	SRR601263
gtex	SRR664063
gtex	SRR1499566
gtex	SRR1439785
gtex	SRR660115
gtex	SRR1332299
gtex	SRR1370742
gtex	SRR1451876
gtex	SRR1319626
gtex	SRR814868
gtex	SRR817373
gtex	SRR1313514
gtex	SRR607117
gtex	SRR1420960
gtex	SRR1446850
gtex	SRR1478968
gtex	SRR1341854
gtex	SRR1332488
gtex	SRR1406112
gtex	SRR613498
gtex	SRR1409130
gtex	SRR1436539
gtex	SRR614527
gtex	SRR614503
gtex	SRR1489307
gtex	SRR1469614
gtex	SRR1394406
gtex	SRR1478053
gtex	SRR1084577
gtex	SRR1452631
gtex	SRR661639
gtex	SRR5125344
gtex	SRR1311062
gtex	SRR1389777
gtex	SRR1470093
gtex	SRR1499740
gtex	SRR655887
gtex	SRR807925
gtex	SRR1332879
gtex	SRR660626
gtex	SRR1071359
gtex	SRR661961
gtex	SRR608392
gtex	SRR657869
gtex	SRR1090907
gtex	SRR1466376
gtex	SRR1444852
gtex	SRR1433066
gtex	SRR1440246
gtex	SRR1444283
gtex	SRR1429468
gtex	SRR1093930
gtex	SRR1337540
gtex	SRR656203
gtex	SRR659061
gtex	SRR816745
gtex	SRR1318005
gtex	SRR1336263
gtex	SRR1350435
gtex	SRR1087654
gtex	SRR1489950
gtex	SRR1468271
gtex	SRR1379110
gtex	SRR1385277
gtex	SRR1343501
gtex	SRR1367499
gtex	SRR1376249
gtex	SRR1404555
gtex	SRR659319
gtex	SRR1351480
gtex	SRR1368264
gtex	SRR1477991
gtex	SRR1467431
gtex	SRR1436763
gtex	SRR1317898
gtex	SRR612899
gtex	SRR1317134
gtex	SRR1332007
gtex	SRR1086328
gtex	SRR811771
gtex	SRR1097594
gtex	SRR1328407
gtex	SRR1079830
gtex	SRR5125397
gtex	SRR1090508
gtex	SRR807637
gtex	SRR1444222
gtex	SRR1430157
gtex	SRR1447037
gtex	SRR1384138
gtex	SRR1375842
gtex	SRR819164
gtex	SRR659708
gtex	SRR5125340
gtex	SRR662990
gtex	SRR600981
gtex	SRR818773
gtex	SRR1380931
gtex	SRR1465734
gtex	SRR1099260
gtex	SRR1474839
gtex	SRR1387054
gtex	SRR1351280
gtex	SRR1458465
gtex	SRR1363766
gtex	SRR604002
gtex	SRR1440491
gtex	SRR598725
gtex	SRR5125377
gtex	SRR1469014
gtex	SRR5125350
gtex	SRR1454310
gtex	SRR1447523
gtex	SRR1376294
gtex	SRR5125356
gtex	SRR1480038
gtex	SRR1354270
gtex	SRR1363742
gtex	SRR1489030
gtex	SRR1333718
gtex	SRR614167
gtex	SRR1351836
gtex	SRR1443092
gtex	SRR820107
gtex	SRR654766
gtex	SRR1336379
gtex	SRR1374585
gtex	SRR1374671
gtex	SRR1402261
gtex	SRR1084417
gtex	SRR655052
gtex	SRR1401295
gtex	SRR1099744
gtex	SRR601038
gtex	SRR627419
gtex	SRR814794
gtex	SRR1434502
gtex	SRR1468050
gtex	SRR1392547
gtex	SRR613603
gtex	SRR1430375
gtex	SRR627441
gtex	SRR1471222
gtex	SRR601335
gtex	SRR1435311
gtex	SRR1097929
gtex	SRR816589
gtex	SRR1468426
gtex	SRR1469880
gtex	SRR1455525
gtex	SRR1500261
gtex	SRR2166420
gtex	SRR1404401
gtex	SRR658212
gtex	SRR1076511
gtex	SRR821653
gtex	SRR5125398
gtex	SRR657915
gtex	SRR1354955
gtex	SRR5125581
gtex	SRR656860
gtex	SRR1393449
gtex	SRR614575
gtex	SRR820914
gtex	SRR1342739
gtex	SRR1349851
gtex	SRR809259
gtex	SRR613951
gtex	SRR655170
gtex	SRR1362219
gtex	SRR1464681
gtex	SRR1441590
gtex	SRR1405437
gtex	SRR1074670
gtex	SRR1409263
gtex	SRR656409
gtex	SRR1341164
gtex	SRR1469746
gtex	SRR1395742
gtex	SRR818348
gtex	SRR1319560
gtex	SRR1319772
gtex	SRR810981
gtex	SRR1467407
gtex	SRR1415072
gtex	SRR1436563
gtex	SRR602564
gtex	SRR1089399
gtex	SRR1102152
gtex	SRR663296
gtex	SRR660545
gtex	SRR656782
gtex	SRR1360460
gtex	SRR1071955
gtex	SRR613426
gtex	SRR1394190
gtex	SRR1081712
gtex	SRR818600
gtex	SRR603330
gtex	SRR1476507
gtex	SRR663874
gtex	SRR1444348
gtex	SRR655399
gtex	SRR1471500
gtex	SRR817046
gtex	SRR819210
gtex	SRR1326604
gtex	SRR1363908
gtex	SRR1359280
gtex	SRR1454651
gtex	SRR1488470
gtex	SRR1414559
gtex	SRR662534
gtex	SRR1403133
gtex	SRR1379538
gtex	SRR1377006
gtex	SRR1357541
gtex	SRR1385101
gtex	SRR1471331
gtex	SRR1339856
gtex	SRR1480789
gtex	SRR1399433
gtex	SRR1413892
gtex	SRR1452888
gtex	SRR821356
gtex	SRR1409510
gtex	SRR815067
gtex	SRR1348181
gtex	SRR809283
gtex	SRR1453911
gtex	SRR1431288
gtex	SRR662007
gtex	SRR814317
gtex	SRR1417483
gtex	SRR1097574
gtex	SRR607214
gtex	SRR1349209
gtex	SRR813802
gtex	SRR1389324
gtex	SRR1478386
gtex	SRR661155
gtex	SRR1318208
gtex	SRR1350855
gtex	SRR1487570
gtex	SRR1368939
gtex	SRR1092422
gtex	SRR612767
gtex	SRR807493
gtex	SRR1362972
gtex	SRR1471178
gtex	SRR820883
gtex	SRR1457375
gtex	SRR1464915
gtex	SRR1084369
gtex	SRR1488214
gtex	SRR1442173
gtex	SRR1319648
gtex	SRR1433044
gtex	SRR1327702
gtex	SRR1345894
gtex	SRR1357781
gtex	SRR1486280
gtex	SRR1476207
gtex	SRR1394147
gtex	SRR1091452
gtex	SRR1072129
gtex	SRR602784
gtex	SRR1397673
gtex	SRR606974
gtex	SRR1418968
gtex	SRR1499584
gtex	SRR615225
gtex	SRR1370572
gtex	SRR1328383
gtex	SRR1343393
gtex	SRR1333209
gtex	SRR598220
gtex	SRR662294
gtex	SRR1471690
gtex	SRR1311553
gtex	SRR659169
gtex	SRR821410
gtex	SRR1414332
gtex	SRR1331220
gtex	SRR1356078
gtex	SRR1386967
gtex	SRR1102830
gtex	SRR1375796
gtex	SRR1321307
gtex	SRR1435560
gtex	SRR1309070
gtex	SRR1402328
gtex	SRR816250
gtex	SRR1407758
gtex	SRR5125580
gtex	SRR816920
gtex	SRR1398183
gtex	SRR1477861
gtex	SRR1366648
gtex	SRR1071692
gtex	SRR612695
gtex	SRR1452515
gtex	SRR1318241
gtex	SRR1479845
gtex	SRR1093601
gtex	SRR1326471
gtex	SRR1446332
gtex	SRR1498313
gtex	SRR1073413
gtex	SRR613126
gtex	SRR598831
gtex	SRR1418041
gtex	SRR1429265
gtex	SRR1320321
gtex	SRR1310476
gtex	SRR1335400
gtex	SRR1480547
gtex	SRR1314940
gtex	SRR818537
gtex	SRR1368529
gtex	SRR1380270
gtex	SRR1326161
gtex	SRR1400054
gtex	SRR662366
gtex	SRR1387702
gtex	SRR5125343
gtex	SRR1455925
gtex	SRR1085519
gtex	SRR659768
gtex	SRR1375658
gtex	SRR1331422
gtex	SRR1353517
gtex	SRR660007
gtex	SRR1430468
gtex	SRR1085759
gtex	SRR654921
gtex	SRR1435248
gtex	SRR1364975
gtex	SRR1446244
gtex	SRR1440397
gtex	SRR1085426
gtex	SRR1397156
gtex	SRR5125385
gtex	SRR601815
gtex	SRR809943
gtex	SRR5125364
gtex	SRR1490037
gtex	SRR1392701
