group	samples
target	SRR4419568
target	SRR1784864
target	SRR1810581
target	SRR4416287
target	SRR1791158
target	SRR4416284
target	SRR1791092
target	SRR1559034
target	SRR2083116
target	SRR1810606
target	SRR1796942
target	SRR1798973
target	SRR1797057
target	SRR1559179
target	SRR4416258
target	SRR1810637
target	SRR1797081
target	SRR1810643
target	SRR1799007
target	SRR1791104
target	SRR5912872
target	SRR1559149
target	SRR1559192
target	SRR1796979
target	SRR1798999
target	SRR4419562
target	SRR1559074
target	SRR2239675
target	SRR1791099
target	SRR1791077
target	SRR1799070
target	SRR2042832
target	SRR1796920
target	SRR1798967
target	SRR4416257
target	SRR1798952
target	SRR1791060
target	SRR1796975
target	SRR4416289
target	SRR1791063
target	SRR4416271
target	SRR1559072
target	SRR1791087
target	SRR2083157
target	SRR1797059
target	SRR2083128
target	SRR1796987
target	SRR1796914
target	SRR1559052
target	SRR1712456
target	SRR1798977
target	SRR1796931
target	SRR1797128
target	SRR1791151
target	SRR5912869
target	SRR1798983
target	SRR1559038
target	SRR1796969
target	SRR1559032
target	SRR4419566
target	SRR1798978
target	SRR4419571
target	SRR2239661
target	SRR1810579
target	SRR1559103
target	SRR1810638
target	SRR1796865
target	SRR1797002
target	SRR4416304
target	SRR1796882
target	SRR2083155
target	SRR1791026
target	SRR1798986
target	SRR1791120
target	SRR1797030
target	SRR2239694
target	SRR1791019
target	SRR2083186
target	SRR1796861
target	SRR1791108
target	SRR2083109
target	SRR4416264
target	SRR1796892
target	SRR1791020
target	SRR1791073
target	SRR1791001
target	SRR1796911
target	SRR1797058
target	SRR1810625
target	SRR1796951
target	SRR1791083
target	SRR1559101
target	SRR1796891
target	SRR1799060
target	SRR1810610
target	SRR4419564
target	SRR1791131
target	SRR1791101
target	SRR1559036
target	SRR2083133
target	SRR1810631
target	SRR1796919
target	SRR1791074
target	SRR2239670
target	SRR1796900
target	SRR2083159
target	SRR1797083
target	SRR2239685
target	SRR2083130
target	SRR1791137
target	SRR2239653
target	SRR1796983
target	SRR1797021
target	SRR1797062
target	SRR1791105
target	SRR1797100
target	SRR1791115
target	SRR2083131
target	SRR1791064
target	SRR1559158
target	SRR2083120
target	SRR1791128
target	SRR1791003
target	SRR1559071
target	SRR5912865
target	SRR2083179
target	SRR1559083
target	SRR1797110
target	SRR4416290
target	SRR1791125
target	SRR1797045
target	SRR1796894
target	SRR1797023
target	SRR2239654
target	SRR1797070
target	SRR1799085
target	SRR2239710
target	SRR1797082
target	SRR1797026
target	SRR1798955
target	SRR1559092
target	SRR1810605
target	SRR2083165
target	SRR2083114
target	SRR2083153
target	SRR1559104
target	SRR2083117
target	SRR1559089
target	SRR4416299
target	SRR1797107
target	SRR1791129
target	SRR1559042
target	SRR1559189
target	SRR4376033
target	SRR2083140
target	SRR4419559
target	SRR1799008
target	SRR1796909
target	SRR2083194
target	SRR1559076
target	SRR4419553
target	SRR1791088
target	SRR2042854
target	SRR2239708
target	SRR1791119
target	SRR1791112
target	SRR1791168
target	SRR1796895
target	SRR4376042
target	SRR1796963
target	SRR1790991
target	SRR1797125
target	SRR1796962
target	SRR1797039
target	SRR1797102
target	SRR1559153
target	SRR1796949
target	SRR1559118
target	SRR2083162
target	SRR1810600
target	SRR4416298
target	SRR2083118
target	SRR2042855
target	SRR1559156
target	SRR1712457
target	SRR1559073
target	SRR2239680
target	SRR1796966
target	SRR1791157
